brand|description|condition|id|image_link|link|mpn|isbn|price|google product category|title|upc|shipping|adwords_redirect|adwords_labels|Product type|Size|Colour|availability|promotion_id|is_bundle
Caple|89cm 5 Burner Gas Hob|New|C873G|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/C/Caple-c873g-gas-hob.jpg|http://www.appliancecity.co.uk/caple/hobs/c873g/product-15860//|C873G||369.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Cooktops|Caple C873G in STAINLESS STEEL 89cm 5 Burner Gas Hob|5038024517230|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=232&DELCMD=70||Hobs||STAINLESS STEEL|In Stock||
Caple|Domino Induction Wok Hob|New|C930I|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/C/Caple-c930i-domino-hob.jpg|http://www.appliancecity.co.uk/caple/hobs/c930i/product-15863//|C930I||879.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Cooktops|Caple C930I in BLACK Domino Induction Wok Hob|5038024517247|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=235&DELCMD=70||Hobs||BLACK|In Stock||
Caple|79cm 5 Burner Gas On Glass Hob|New|C981G|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/C/Caple-c981g-gas-hob.jpg|http://www.appliancecity.co.uk/caple/hobs/c981g/product-13166//|C981G||779.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Cooktops|Caple C981G in BLACK 79cm 5 Burner Gas On Glass Hob|5038024398419|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=237&DELCMD=70||Hobs||BLACK|In Stock||
Caple|Domino 2 Burner Gas On Glass Hob|New|C993G|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/C/Caple-c993g-domino-hob.jpg|http://www.appliancecity.co.uk/caple/hobs/c993g/product-15866//|C993G||349.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Cooktops|Caple C993G in BLACK Domino 2 Burner Gas On Glass Hob|5038024517254|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=238&DELCMD=70||Hobs||BLACK|In Stock||
Caple|Domino Tepan Yaki Hob|New|C995|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/C/Caple-c995-domino-hob.jpg|http://www.appliancecity.co.uk/caple/hobs/c995/product-15864//|C995||789.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Cooktops|Caple C995 in STAINLESS STEEL Domino Tepan Yaki Hob|5038024517278|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=239&DELCMD=70||Hobs||STAINLESS STEEL|In Stock||
Miele|Domino Induction Hob|New|CS1212-1I|http://www.appliancecity.co.uk/upload/ProductImages/ResizedImages/M/W_780_Miele-cs1212i-hob.jpg|http://www.appliancecity.co.uk/miele/hobs/cs1212-1i/product-15239//|CS1212-1I||1099.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Cooktops|Miele CS1212-1I in STAINLESS STEEL Domino Induction Hob|4002514998664|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=345&DELCMD=70||Hobs||STAINLESS STEEL|In Stock||
Fisher Paykel|89474 Designer Series Flat Twin Dishdrawer|New|DD60DDFHX7|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/F/Fisher-Paykel-dd60ddfx6.jpg|http://www.appliancecity.co.uk/fisher-paykel/dishwashers/dd60ddfhx7/product-15603//|DD60DDFHX7||1025.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Dishwashers|Fisher Paykel DD60DDFHX7 in STAINLESS STEEL 89474 Designer Series Flat Twin Dishdrawer|9415112893869|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=375&DELCMD=70||Dishwashers||STAINLESS STEEL|In Stock||
Fisher Paykel|89477 Designer Series Flat Single Dishdrawer|New|DD60SDFHX7|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/F/Fisher-Paykel-dd60sdfx6.jpg|http://www.appliancecity.co.uk/fisher-paykel/dishwashers/dd60sdfhx7/product-15983//|DD60SDFHX7||699.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Dishwashers|Fisher Paykel DD60SDFHX7 in STAINLESS STEEL 89477 Designer Series Flat Single Dishdrawer|9415112893913|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=377&DELCMD=45||Dishwashers||STAINLESS STEEL|In Stock|425|
De Dietrich|86cm Downdraft Extractor|New|DHD1100X|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/D/De Dietrich-dhd1100x.jpg|http://www.appliancecity.co.uk/de-dietrich/cooker-hoods/dhd1100x/product-16679//|DHD1100X||1599.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Range Hoods|De Dietrich DHD1100X in BLACK 86cm Downdraft Extractor|3660767579514|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=396&DELCMD=70|De Dietrich|Cooker Hoods||BLACK|In Stock|421|
De Dietrich|52cm Downdraft Extractor|New|DHD1101X|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/D/De Dietrich-dhd1101x.jpg|http://www.appliancecity.co.uk/de-dietrich/cooker-hoods/dhd1101x/product-16680//|DHD1101X||1529.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Range Hoods|De Dietrich DHD1101X in BLACK 52cm Downdraft Extractor|3660767579538|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=397&DELCMD=70|De Dietrich|Cooker Hoods||BLACK|In Stock|421|
